ox,oy,oz,ow,ax,ay,az,lx,ly,lz
-0.06050193,0.05046479,0.08366241,0.99337482,0.00013316,0.00266316,0.00039947,-0.0114021,-0.01153903,0.10206498
-0.05979971,0.05054168,0.08123606,0.99361479,-0.00106526,0.00173105,-0.00053263,-0.01133364,-0.01146434,0.10195295
-0.05906488,0.0508576,0.07709441,0.99397248,-0.00079895,0.00213053,0.0015979,-0.01139588,-0.01153903,0.10172267
-0.05888721,0.05087892,0.0747633,0.99416006,-0.00133158,0.00399474,0.00133158,-0.01113447,-0.01129007,0.10179735
-0.06043331,0.05082566,0.07901803,0.99374074,-0.00013316,0.00319579,-0.00093211,-0.01118426,-0.01131497,0.10174756
-0.06117745,0.05063364,0.08135356,0.99351662,0.00239685,0.00133158,0.00053263,-0.01156392,-0.01177553,0.10205875
-0.05940796,0.05070761,0.07660174,0.99399781,0.00106526,0.00266316,0.00066579,-0.01130874,-0.01165728,0.1018347
-0.05850628,0.05100587,0.07237733,0.99435252,-0.00106526,0.00279632,0.00106526,-0.01141455,-0.01163861,0.10181603
-0.05935177,0.0508744,0.07312871,0.99425417,0.00066579,0.00146474,0.00026632,-0.01158882,-0.01184399,0.10194673
-0.06027658,0.05087265,0.07579865,0.99399871,0.00013316,0.00119842,0.00013316,-0.01119049,-0.01153903,0.1018098
-0.06037707,0.05066797,0.07671589,0.9939326,0.00093211,0.0015979,0.00026632,-0.01119671,-0.01165728,0.10185337
-0.06046563,0.05094256,0.0764224,0.99393588,0.00013316,0.00173105,-0.00013316,-0.01122783,-0.01154525,0.10143637
-0.06036435,0.05091869,0.07602687,0.99397355,-0.00119842,0.00186421,0.00186421,-0.01145811,-0.01165105,0.10218323
-0.06001604,0.05083299,0.07490126,0.99408454,-0.00066579,0.00213053,0.00066579,-0.01130874,-0.01145811,0.10195295
-0.05981857,0.05085112,0.0743004,0.99414051,0.00013316,0.00346211,0.0,-0.01110958,-0.01151413,0.102121
-0.05993448,0.05096586,0.07404241,0.99414694,-0.00026632,0.00066579,0.00026632,-0.01091042,-0.01131497,0.10175379
-0.05991712,0.05093339,0.07390379,0.99415994,0.00026632,0.00213053,-0.00133158,-0.01144567,-0.01161993,0.10169777
